Name;Hours without subtasks;Hours with subtasks
               Testovanie softu;5h 15m;5h 15m
          Meeting;1h 2m;1h 2m
          Talk - Tomas;28m 26s;28m 26s
     Meeting s Marianom;1h 13m;1h 13m
     Prenasanie novych regalov;1h 6m;1h 6m
     Organizacia - vypomoc - Meranie - meeting s Petom;55m 13s;55m 13s
     Help Edovi v Projecte;51m;51m
     Breakout makro;8m 23s;8m 23s
GSM 2016;-;54h 12m
     Ucast na GSM 2016;30h;30h
     Priprava materialov;7h 15m;21h 58m
          Poppi - MS-03;6h 52m;12h 6m
               Tvorba textu;4h 24m;4h 24m
               Uprava;30m 8s;30m 8s
               Talk - Peto;19m 18s;19m 18s
          Poppi - Profil;1h 24m;1h 24m
          Odpoved Johnovi;45m 32s;45m 32s
          Phone call - Peto;19m 7s;19m 7s
          Datasheet;7m 39s;7m 39s
     Nastavenie Sentinelu;1h 5m;2h 2m
          Otestovanie konfiguracneho suboru;56m 52s;56m 52s
     Diskusia - Tomas;12m;12m
1439 - Polyimide FFT;-;47h 12m
     Design;-;39h 52m
          Specifikacia standardnych vlnovych dlzok;2h 33m;36h 54m
               Nova specka WL;9h 22m;22h 16m
                    Prerobenie sablony podla novych poziadaviek;10h 23m;10h 36m
                         Diskusia - Ado;13m;13m
                    Finalizacia - Ado / Peto / Tomas;1h 4m;1h 4m
                    Diskusia - Peto;24m 45s;24m 45s
                    Custom zadanie;23m 13s;23m 13s
                    Finalizacia - Ado;14m;14m
                    Phone call - Tomas;11m 17s;11m 17s
               Re-check vsetkych WL;2h 48m;4h 49m
                    Porovnanie teoretickych a realnych WL;1h 48m;1h 48m
                    Kontrola PN vlakien;11m 41s;11m 41s
               Diskusia Peto / Gabo;2h 59m;2h 59m
               Diskusia Peto / Tomas / Gabo;1h 23m;1h 23m
               Diskusia Peto / Tomas / Gabo;1h 18m;1h 18m
               D-01 standardne WL;1h 4m;1h 4m
               Tomas - check definovanych WL;30m 37s;30m 37s
          Transformer temperature monitoring;-;2h 36m
               Mail - Petovi;1h 10m;1h 10m
               Phone call - Magnus + diskusia s Petom;1h 5m;1h 5m
               Snimacia siet - Marek;13m 9s;13m 9s
